"dep";"an_sem";"clage_covid_dc65";"cat_zscore"
"974";"2020-S14";"0";"1"
"972";"2020-S11";"A";"1"
"972";"2020-S12";"A";"1"
"972";"2020-S13";"A";"1"
"972";"2020-S14";"A";"1"
"972";"2020-S11";"0";"1"
"972";"2020-S12";"0";"1"
"972";"2020-S13";"0";"1"
"972";"2020-S14";"0";"1"
"971";"2020-S11";"A";"1"
"971";"2020-S12";"A";"1"
"971";"2020-S13";"A";"1"
"971";"2020-S14";"A";"1"
"971";"2020-S11";"0";"1"
"971";"2020-S12";"0";"1"
"971";"2020-S13";"0";"1"
"971";"2020-S14";"0";"1"
"973";"2020-S11";"A";"1"
"973";"2020-S12";"A";"1"
"973";"2020-S13";"A";"1"
"973";"2020-S14";"A";"1"
"973";"2020-S11";"0";"1"
"973";"2020-S12";"0";"1"
"973";"2020-S13";"0";"1"
"973";"2020-S14";"0";"1"
